Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2017-12-31 10:48:59,false,"Sevierville Running","13.62","1,462","01:29:31","0","0","175","187","6:34","5:59","381","425","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","14","0.0","01:29:30","01:32:18","958","1,181"
Running,2017-12-30 08:44:33,false,"Sevierville Running","5.83","631","00:41:23","0","0","176","191","7:06","6:32","169","9","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","6","0.0","00:41:25","00:41:35","1,001","1,174"
Running,2017-12-29 11:21:54,false,"Sevierville Running","8.22","881","00:50:45","0","0","176","191","6:10","5:21","285","184","1.47","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","10","0.0","00:50:45","00:51:27","968","1,167"
Running,2017-12-29 11:06:10,false,"Sevierville Running","1.97","209","00:13:42","0","0","174","191","6:57","6:19","48","181","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","2","0.0","00:13:41","00:14:01","1,028","1,178"
Running,2017-12-28 06:24:02,false,"Moss Point Running","7.37","797","00:52:04","0","0","173","185","7:04","6:23","182","195","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","8","0.0","00:52:03","00:52:16","64","135"
Running,2017-12-26 13:02:16,false,"Moss Point Running","1.78","193","00:12:13","0","0","173","180","6:52","6:35","16","17","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","2","0.0","00:12:12","00:12:13","60","102"
Running,2017-12-26 12:27:02,false,"Moss Point Running","5.40","582","00:31:54","0","0","178","197","5:54","4:34","20","27","1.52","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","12","0.0","00:31:37","00:33:58","89","102"
Running,2017-12-26 12:05:00,false,"Moss Point Running","1.86","203","00:13:29","0","0","172","176","7:15","6:39","12","16","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","2","0.0","00:13:29","00:16:09","89","115"
Running,2017-12-21 11:37:24,false,"Lucedale Running","7.39","798","00:49:19","0","0","172","180","6:41","6:16","168","170","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","8","0.0","00:49:21","00:50:01","63","135"
Running,2017-12-20 15:24:12,false,"Lucedale Running","4.31","462","00:29:34","0","0","172","178","6:51","6:26","79","65","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","5","0.0","00:29:36","00:30:28","75","135"
Running,2017-12-20 11:28:56,false,"Moss Point Running","4.43","473","00:29:47","0","0","172","245","6:44","5:48","57","72","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","5","0.0","00:29:46","00:30:07","70","124"
Running,2017-12-19 12:25:09,false,"Moss Point Running","1.92","207","00:13:13","0","0","169","174","6:54","6:26","36","41","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","2","0.0","00:13:14","00:13:13","89","115"
Running,2017-12-19 11:50:54,false,"Moss Point Running","5.22","561","00:30:51","0","0","176","196","5:55","4:36","17","30","1.54","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","12","0.0","00:30:48","00:30:51","84","102"
Running,2017-12-19 11:33:00,false,"Moss Point Running","2.00","213","00:13:56","0","0","169","176","6:59","6:28","25","32","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","2","0.0","00:13:42","00:15:06","89","115"
