"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USC00221880","COLUMBUS, MS US","2017-01-25",,,,,"0.62","0.0","0.0","72","46","58",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-26",,,,,"0.00","0.0","0.0","58","39","39",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-27",,,,,"0.00","0.0","0.0","50","34","34",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-28",,,,,"0.00","0.0","0.0",,,,,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-29",,,,,"0.00","0.0","0.0","53","31","31",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-30",,,,,"0.00","0.0","0.0","66","30","49",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-01-31",,,,,"0.00","0.0","0.0","79","40","51",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-01",,,,,"0.10","0.0","0.0","76","50","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-02",,,,,"0.00","0.0","0.0","55","42","43",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-03",,,,,"0.00","0.0","0.0","52","32","34",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-04",,,,,"0.00","0.0","0.0","55","26","48",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-05",,,,,"0.85","0.0","0.0","52","43","51",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-06",,,,,"0.70","0.0","0.0","70","50","62",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-07",,,,,"0.42","0.0","0.0","65","61","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-08",,,,,"0.00","0.0","0.0","79","46","46",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-09",,,,,"0.00","0.0","0.0","62","34","34",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-10",,,,,"0.00","0.0","0.0","69","34","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-11",,,,,"0.00","0.0","0.0","77","59","67",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-12",,,,,"0.00","0.0","0.0","72","54","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-13",,,,,"0.00","0.0","0.0","65","40","40",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-14",,,,,"0.00","0.0","0.0","67","36","65",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-15",,,,,"0.38","0.0","0.0","65","42","42",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-16",,,,,"0.00","0.0","0.0","65","30","41",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-17",,,,,"0.00","0.0","0.0","69","41","56",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-18",,,,,"0.00","0.0","0.0","62","38","48",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-19",,,,,"0.00","0.0","0.0","76","48","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-20",,,,,"0.00","0.0","0.0","81","47","67",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-21",,,,,"0.96","0.0","0.0","71","59","60",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-22",,,,,"0.07","0.0","0.0","70","53","53",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-23",,,,,"0.00","0.0","0.0","73","49","62",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-24",,,,,"0.05","0.0","0.0","81","62","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-25",,,,,"0.00","0.0","0.0",,"38","46",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-26",,,,,"0.00","0.0","0.0","65","38","56",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-27",,,,,"0.59","0.0","0.0","59","47","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-02-28",,,,,"0.00","0.0","0.0","79","59","72",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-01",,,,,"0.04","0.0","0.0","81","52","52",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-02",,,,,"0.00","0.0","0.0","61","36","42",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-03",,,,,"0.00","0.0","0.0","64","37","37",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-04",,,,,"0.00","0.0","0.0","70","30","47",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-05",,,,,"0.00","0.0","0.0","64","47","60",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-06",,,,,"0.00","0.0","0.0","78","60","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-07",,,,,"0.80","0.0","0.0","72","49","49",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-08",,,,,"0.00","0.0","0.0","74","36","44",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-09",,,,,"0.00","0.0","0.0","80","41","67",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-10",,,,,"0.25","0.0","0.0","75","47","47",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-11",,,,,"0.80","0.0","0.0","54","40","40",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-12",,,,,"0.00","0.0","0.0","63","39","44",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-13",,,,,"0.31","0.0","0.0","50","40","46",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-14",,,,,"0.00","0.0","0.0","47","36","36",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-15",,,,,"0.00","0.0","0.0","47","29","29",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-16",,,,,"0.00","0.0","0.0","53","28","49",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-17",,,,,"0.00","0.0","0.0","73","28","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-18",,,,,"0.00","0.0","0.0","79","50","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-19",,,,,"0.00","0.0","0.0","75","50","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-20",,,,,"0.00","0.0","0.0","88","47","64",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-21",,,,,"0.00","0.0","0.0","91","58","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-22",,,,,"0.00","0.0","0.0","75","57","58",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-23",,,,,"0.00","0.0","0.0","83","48","69",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-24",,,,,"0.00","0.0","0.0","77","67","67",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-25",,,,,"0.77","0.0","0.0","71","60","60",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-26",,,,,"0.00","0.0","0.0","81","60","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-27",,,,,"0.05","0.0","0.0","86","65","70",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-28",,,,,"0.13","0.0","0.0","85","65","67",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-29",,,,,"0.00","0.0","0.0","86","64","74",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-30",,,,,"0.25","0.0","0.0","79","61","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-03-31",,,,,"0.00","0.0","0.0","80","54","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-01",,,,,"0.00","0.0","0.0","83","51","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-02",,,,,"0.71","0.0","0.0","82","59","63",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-03",,,,,"2.25","0.0","0.0","80","59","59",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-04",,,,,"0.00","0.0","0.0","87","54","70",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-05",,,,,"0.00","0.0","0.0","90","58","58",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-06",,,,,"0.00","0.0","0.0","68","47","47",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-07",,,,,"0.00","0.0","0.0",,"43","43",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-08",,,,,"0.00","0.0","0.0","77","37","54",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-09",,,,,"0.00","0.0","0.0","80","52","62",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-10",,,,,"0.00","0.0","0.0","83","51","65",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-11",,,,,"0.00","0.0","0.0","83","58","68",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-12",,,,,"0.00","0.0","0.0","83","61","61",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-13",,,,,"0.00","0.0","0.0","89","56","64",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-14",,,,,"0.00","0.0","0.0","86","64","66",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-15",,,,,"0.00","0.0","0.0","88","57","72",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-16",,,,,"0.00","0.0","0.0","84","65","65",,,,,,,,
"USC00221880","COLUMBUS, MS US","2017-04-17",,,,,"0.25","0.0","0.0","79","60","69",,,,,,,,
