Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-12-03 08:24:58,false,"Boise Running","5.09","413","00:38:25","131","162","166","208","7:33","4:09","180","59","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","48.2","0:00","No","00:33.73","7","80.6","00:38:06","01:04:10","2,644","2,718"
Running,2021-12-02 15:12:54,false,"Boise Running","7.05","713","00:50:47","150","167","175","201","7:12","5:24","364","367","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","50:46.66","1","73.4","00:50:42","00:51:52","2,743","3,100"
Running,2021-11-30 15:03:27,false,"Boise Running","9.00","855","01:02:58","151","176","165","227","7:00","3:22","131","177","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","00:29.59","12","73.4","00:59:58","01:16:38","2,438","2,539"
Running,2021-11-29 08:57:39,false,"Oktibbeha County Running","6.00","465","00:41:26","132","160","180","188","6:55","6:25","171","217","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","41:26.32","1","75.2","00:41:26","00:41:26","95","223"
Running,2021-11-28 09:25:48,false,"Mobile County Running","13.40","1,209","01:30:08","149","171","179","188","6:44","6:04","348","371","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","01:30:07.73","1","78.8","01:30:04","01:34:28","-92","26"
Running,2021-11-27 09:46:07,false,"Jackson County Running","7.35","629","00:50:36","141","159","178","186","6:53","6:21","236","171","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","59.0","0:00","No","50:36.24","1","69.8","00:50:36","00:50:46","107","204"
Running,2021-11-26 09:31:49,false,"Jackson County Running","12.25","832","01:15:06","138","160","181","199","6:08","4:45","312","312","1.44","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","05:06.54","8","77.0","01:14:56","01:33:35","-29","88"
Running,2021-11-25 08:40:26,false,"Jackson County Running","7.00","675","00:48:17","149","170","178","188","6:54","6:22","112","148","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","66.2","0:00","No","48:17.01","1","77.0","00:48:17","00:48:23","-14","47"
Running,2021-11-24 09:26:40,false,"Jackson County Running","10.00","892","01:08:18","146","165","176","186","6:50","6:11","144","171","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","62.6","0:00","No","01:08:18.36","1","78.8","01:08:18","01:10:45","17","73"
Running,2021-11-23 10:12:29,false,"Jackson County Running","10.00","782","01:05:37","144","167","178","215","6:34","3:58","371","341","1.37","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","62.6","0:00","No","00:31.26","41","78.8","01:05:18","01:25:31","71","131"
Running,2021-11-22 09:18:37,false,"Starkville Running","6.50","455","00:45:52","131","156","174","188","7:03","5:44","148","187","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","45:51.56","1","77.0","00:45:33","00:49:17","310","362"
Running,2021-11-21 09:17:55,false,"Oktibbeha County Running","14.25","998","01:33:43","140","166","180","190","6:35","5:02","440","466","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","62.6","0:00","No","01:33:42.71","1","75.2","01:33:23","01:36:50","213","359"
Running,2021-11-20 08:05:08,false,"Oktibbeha County Running","8.15","692","00:56:23","142","160","179","196","6:55","6:27","210","207","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","56:22.66","1","77.0","00:56:17","01:04:26","266","380"
Running,2021-11-19 16:31:14,false,"Starkville Running","4.00","290","00:29:17","126","149","175","192","7:19","6:20","157","105","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","29:16.92","1","71.6","00:29:14","00:34:42","281","349"
Running,2021-11-19 09:51:24,false,"Oktibbeha County Running","10.50","657","01:11:12","130","157","179","232","6:47","4:12","738","541","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","59.0","0:00","No","00:58.69","25","77.0","01:11:03","01:22:11","252","448"
Running,2021-11-18 11:17:10,false,"Starkville Running","8.72","720","01:01:54","141","169","175","188","7:06","6:17","495","463","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","01:01:54.10","1","77.0","01:01:46","01:04:35","379","515"
Running,2021-11-17 07:43:31,false,"Boise Running","11.40","1,215","01:32:20","153","176","172","201","8:06","6:05","1,355","1,401","1.15","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","37.4","0:00","No","01:32:19.79","1","80.6","01:31:59","01:45:15","2,531","3,558"
Running,2021-11-16 14:11:36,false,"Boise Running","10.08","714","01:10:12","131","170","176","215","6:58","3:41","417","344","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","00:15.88","22","73.4","01:09:15","01:39:02","2,714","2,905"
