Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2020-12-31 09:15:19,false,"Jackson County Running","10.00","843","01:10:01","141","155","175","184","7:00","6:22","108","112","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","69.8","0:00","No","00:02.98","11","77.0","01:09:59","01:10:09","-23","-3"
Running,2020-12-30 09:13:33,false,"Mobile County Running","12.00","1,044","01:19:23","147","165","174","184","6:37","5:40","200","194","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","69.8","0:00","No","00:02.03","13","80.6","01:19:13","01:23:27","155","206"
Running,2020-12-29 09:23:17,false,"Jackson County Running","11.16","865","01:09:34","146","184","175","196","6:14","4:27","154","164","1.47","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","66.2","0:00","No","00:03.100","14","82.4","01:08:51","01:19:11","77","116"
Running,2020-12-28 09:33:42,false,"Mobile County Running","9.08","698","01:03:31","136","150","173","194","7:00","6:09","154","151","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","68.0","0:00","No","00:33.33","10","82.4","01:03:20","01:11:34","11","76"
Running,2020-12-27 09:20:00,false,"Mobile County Running","14.01","1,166","01:31:02","147","167","176","188","6:30","5:32","558","591","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","62.6","0:00","No","00:02.24","15","77.0","01:30:44","01:34:57","98","284"
Running,2020-12-26 10:07:40,false,"George County Running","10.04","813","01:09:13","142","163","159","199","6:54","4:16","240","220","1.45","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","57.2","0:00","No","00:06.49","19","80.6","01:05:46","01:37:48","186","266"
Running,2020-12-25 09:20:29,false,"Jackson County Running","7.02","642","00:49:03","144","165","172","182","6:59","6:09","105","125","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","51.8","0:00","No","00:10.27","8","75.2","00:48:44","00:54:52","30","51"
Running,2020-12-24 09:37:43,false,"Mobile County Running","10.04","913","01:05:14","151","169","175","186","6:30","5:43","335","371","1.41","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","59.0","0:00","No","00:13.84","11","73.4","01:05:08","01:11:37","81","177"
Running,2020-12-23 09:22:27,false,"Jackson County Running","10.00","863","01:01:32","155","184","176","192","6:09","5:04","233","230","1.49","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","68.0","0:00","No","00:12.66","11","86.0","01:00:58","01:07:30","71","118"
Running,2020-12-21 09:02:12,false,"Clark County Running","8.13","700","00:55:44","143","159","173","223","6:51","3:30","167","187","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","00:57.76","9","75.2","00:55:38","01:02:51","1,968","2,049"
