Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2018-12-31 16:18:29,false,"Jackson County Running","5.80","643","00:39:54","0","0","168","180","6:53","6:18","135","140","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","6","0.0","00:39:56","00:41:16","69","125"
Running,2018-12-30 09:02:43,false,"Mobile County Running","14.97","1,641","01:37:35","0","0","173","188","6:31","4:44","433","438","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","15","0.0","01:37:33","01:43:46","87","208"
Running,2018-12-29 09:22:46,false,"Mobile County Running","8.96","984","01:00:40","0","0","170","177","6:46","6:13","159","153","1.40","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","10","0.0","01:00:41","01:06:14","129","208"
Running,2018-12-28 09:53:40,false,"Pascagoula Running","10.99","1,134","01:15:10","0","0","171","232","6:51","4:10","2","2","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","27","0.0","01:11:54","01:34:56","10","13"
Running,2018-12-27 10:40:04,false,"Jackson County Running","8.00","887","00:53:34","0","0","169","182","6:42","6:17","192","183","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","8","0.0","00:53:34","00:56:23","63","135"
Running,2018-12-26 16:57:28,false,"Mobile Running","3.94","437","00:28:24","0","0","167","178","7:13","6:25","200","211","1.34","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","4","0.0","00:28:25","00:29:31","44","115"
Running,2018-12-26 10:44:01,false,"Jackson County Running","8.95","996","01:00:00","0","0","169","178","6:42","5:31","46","54","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","9","0.0","01:00:01","01:01:47","37","89"
Running,2018-12-25 10:10:18,false,"Jackson County Running","8.94","992","00:59:13","0","0","169","180","6:37","6:03","78","79","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","10","0.0","00:59:11","01:02:12","37","88"
Running,2018-12-24 10:32:36,false,"Jackson County Running","10.96","1,204","01:08:03","0","0","172","197","6:12","4:39","154","145","1.50","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","23","0.0","01:08:02","01:24:07","37","89"
Running,2018-12-22 08:44:26,false,"San Antonio Running","18.00","1,982","01:58:32","0","0","171","183","6:35","5:44","228","225","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","19","0.0","01:58:31","02:10:43","496","609"
Running,2018-12-21 09:29:44,false,"San Antonio Running","10.45","1,142","01:14:15","0","0","168","184","7:06","6:09","61","62","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","12","0.0","01:14:10","05:38:02","616","679"
Running,2018-12-20 09:25:04,false,"San Antonio Running","11.00","1,128","01:21:16","0","0","166","211","7:23","3:41","131","133","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","27","0.0","01:18:33","01:37:50","702","762"
Running,2018-12-19 09:46:42,false,"Jackson County Running","10.91","1,188","01:13:03","0","0","170","236","6:42","5:13","158","177","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","11","0.0","01:13:01","01:14:36","61","135"
Running,2018-12-18 09:34:06,false,"Leon County Running","2.15","236","00:15:39","0","0","168","175","7:17","6:49","67","72","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","3","0.0","00:15:40","00:17:28","125","157"
Running,2018-12-18 08:48:31,false,"Leon County Running","5.77","647","00:31:58","0","0","177","195","5:32","2:20","108","125","1.65","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","8","0.0","00:31:52","00:32:50","125","188"
Running,2018-12-18 08:14:46,false,"Leon County Running","2.95","326","00:22:50","0","0","168","178","7:44","6:16","88","82","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","3","0.0","00:20:26","00:27:04","125","158"
Running,2018-12-17 16:45:57,false,"Tallahassee Running","3.84","411","00:27:09","0","0","168","176","7:04","6:03","68","71","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","4","0.0","00:27:11","00:28:23","181","233"
Running,2018-12-17 07:32:18,false,"Jackson County Running","6.90","762","00:47:40","0","0","169","179","6:55","5:56","150","159","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","7","0.0","00:47:40","00:49:55","76","135"
Running,2018-12-16 14:15:30,false,"Mobile County Running","14.81","1,621","01:35:32","0","0","170","189","6:27","5:02","441","435","1.47","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","17","0.0","01:35:30","01:38:25","125","208"
Running,2018-12-15 09:11:50,false,"Oktibbeha County Running","9.04","999","01:00:37","0","0","169","232","6:42","6:02","122","123","1.42","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","10","0.0","01:00:37","01:03:20","243","344"
Running,2018-12-14 09:41:58,false,"Oktibbeha County Running","10.85","1,208","01:12:58","0","0","174","189","6:44","5:30","343","334","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","11","0.0","01:12:59","01:18:48","304","401"
Running,2018-12-13 15:14:18,false,"Oktibbeha County Running","7.88","872","00:46:56","0","0","177","194","5:57","4:39","145","151","1.51","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","10","0.0","00:46:40","00:50:50","259","348"
Running,2018-12-13 14:44:01,false,"Oktibbeha County Running","2.95","325","00:20:23","0","0","172","181","6:55","6:08","63","50","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","3","0.0","00:20:24","00:20:37","338","402"
Running,2018-12-12 16:05:26,false,"Oktibbeha County Running","4.00","443","00:27:46","0","0","166","245","6:57","5:24","21","15","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","4","0.0","00:27:45","00:28:52","243","269"
Running,2018-12-11 09:32:53,false,"Oktibbeha County Running","1.86","207","00:13:48","0","0","174","187","7:24","6:48","41","24","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.00","2","0.0","00:13:48","00:13:51","339","394"
