Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2019-12-31 10:54:36,false,"Conway Running","10.00","1,043","01:14:14","0","0","174","241","7:25","2:52","--","--","1.22","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:19.06","26","0.0","01:13:29","01:24:42","39","43"
Running,2019-12-30 10:08:48,false,"Georgetown County Running","10.00","1,098","01:08:44","0","0","177","188","6:53","6:07","29","29","1.32","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:42.92","10","0.0","01:08:42","01:15:01","1","23"
Running,2019-12-29 09:20:11,false,"Horry County Running","18.01","1,980","01:56:44","0","0","178","200","6:29","4:31","79","82","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.89","19","0.0","01:56:40","02:01:52","23","52"
Running,2019-12-28 07:05:00,false,"Jackson County Running","10.01","1,109","01:08:42","0","0","179","190","6:52","6:17","225","222","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.93","11","0.0","01:08:41","01:10:10","64","135"
Running,2019-12-27 16:10:22,false,"Jackson County Running","4.47","496","00:31:08","0","0","178","189","6:58","6:23","115","126","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:22.71","5","0.0","00:31:07","00:31:21","36","87"
Running,2019-12-27 09:16:30,false,"Pascagoula Running","8.48","847","00:59:06","0","0","180","226","6:58","3:52","1","1","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:25.02","52","0.0","00:58:26","01:18:01","10","13"
Running,2019-12-26 16:20:14,false,"Jackson County Running","5.00","551","00:34:50","0","0","176","189","6:58","6:08","116","122","1.31","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.46","6","0.0","00:34:48","00:35:46","69","124"
Running,2019-12-26 10:08:53,false,"Jackson County Running","7.99","886","00:56:24","0","0","178","188","7:03","6:06","57","70","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:51.34","8","0.0","00:56:23","00:58:23","32","77"
Running,2019-12-25 07:20:15,false,"Jackson County Running","13.01","1,434","01:24:19","0","0","180","189","6:29","5:38","257","263","1.38","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.53","14","0.0","01:24:17","01:25:53","63","135"
Running,2019-12-24 10:22:55,false,"Jackson County Running","13.00","1,423","01:19:22","0","0","180","196","6:06","4:37","197","206","1.46","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.19","23","0.0","01:19:18","01:31:45","37","88"
Running,2019-12-23 10:34:40,false,"Jackson County Running","10.01","1,110","01:09:21","0","0","179","188","6:56","6:18","188","189","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.03","11","0.0","01:09:19","01:10:20","62","135"
Running,2019-12-22 15:04:30,false,"Mobile County Running","18.03","1,968","01:57:08","0","0","178","227","6:30","5:12","446","454","1.39","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.87","19","0.0","01:56:51","02:04:35","87","208"
