Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-12-30 09:19:22,false,"Oktibbeha County Running","5.71","471","00:43:13","135","154","170","184","7:34","6:48","220","285","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","60.8","0:00","No","43:12.93","1","78.8","00:43:03","00:46:57","39","151"
Running,2022-12-29 09:51:31,false,"Starkville Running","5.01","389","00:37:53","132","148","165","215","7:34","5:32","148","184","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","66.2","0:00","No","37:52.73","1","82.4","00:37:40","00:44:19","12","94"
Running,2022-12-27 11:30:15,false,"Jackson County Running","6.00","562","00:43:51","146","162","170","180","7:18","6:49","112","151","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","64.4","0:00","No","43:51.16","1","75.2","00:43:47","00:46:08","-58","54"
Running,2022-12-26 10:30:06,false,"Jackson County Running","5.01","529","00:36:52","156","179","171","178","7:22","6:49","203","154","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","36:51.81","1","68.0","00:36:51","00:38:23","102","197"
Running,2022-12-23 11:52:44,false,"Jackson County Running","5.01","362","00:36:02","129","157","173","182","7:11","6:35","279","269","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","37.4","0:00","No","36:02.02","1","73.4","00:36:01","00:36:39","31","144"
Running,2022-12-22 12:25:26,false,"Jackson County Running","5.01","455","00:36:34","143","159","171","182","7:18","6:41","43","121","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","62.6","0:00","No","36:33.59","1","78.8","00:36:33","00:38:26","-66","47"
Running,2022-12-21 11:35:58,false,"Jackson County Running","4.06","359","00:29:24","141","160","172","180","7:14","6:39","92","161","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","55.4","0:00","No","29:23.67","1","80.6","00:29:21","00:29:50","--","106"
Running,2022-12-20 11:39:44,false,"Jackson County Running","5.00","473","00:35:52","149","161","173","186","7:10","5:10","92","148","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","35:52.21","1","68.0","00:35:48","00:36:24","36","111"
Running,2022-12-16 11:22:33,false,"Boise Running","5.01","492","00:36:43","152","178","173","184","7:20","5:27","89","56","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","37.4","0:00","No","36:43.19","1","66.2","00:36:43","00:39:13","2,650","2,707"
Running,2022-12-15 11:40:36,false,"Boise Running","4.01","425","00:30:38","152","183","172","184","7:38","6:45","79","75","1.22","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","41.0","0:00","No","30:37.88","1","69.8","00:30:33","00:32:05","2,646","2,705"
Running,2022-12-14 11:53:53,false,"Boise Running","3.06","295","00:23:07","143","171","172","182","7:33","6:39","105","118","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","48.2","0:00","No","23:06.60","1","78.8","00:23:01","00:25:21","2,413","2,494"
Running,2022-12-12 16:30:12,false,"Boise Running","5.01","507","00:38:10","149","167","172","186","7:38","6:46","20","167","1.23","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","48.2","0:00","No","38:10.18","1","71.6","00:38:04","00:42:14","2,327","2,507"
Running,2022-12-08 10:17:51,false,"Boise Running","4.01","377","00:29:20","144","157","176","190","7:19","6:47","36","184","1.25","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","46.4","0:00","No","29:19.71","1","77.0","00:29:18","00:31:18","2,543","2,734"
Running,2022-12-07 10:04:47,false,"Boise Running","7.69","694","00:56:55","144","161","176","188","7:24","6:36","43","233","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","42.8","0:00","No","56:54.74","1","78.8","00:56:47","01:02:45","2,508","2,726"
Running,2022-12-06 09:28:25,false,"Boise Running","5.04","426","00:36:57","138","155","174","186","7:20","6:22","30","220","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","46.4","0:00","No","36:56.99","1","77.0","00:36:49","00:40:01","2,568","2,775"
Running,2022-12-03 10:34:31,false,"Boise Running","9.67","932","01:10:41","149","169","173","196","7:19","6:11","131","341","1.27","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","42.8","0:00","No","01:10:40.73","1","75.2","01:10:04","01:19:41","2,472","2,736"
Running,2022-12-02 10:27:02,false,"Boise Running","5.00","454","00:36:40","142","156","177","184","7:20","6:44","49","177","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","46.4","0:00","No","36:40.03","1","75.2","00:36:40","00:36:53","2,564","2,727"
Running,2022-12-01 10:09:35,false,"Boise Running","6.02","552","00:43:48","145","163","175","188","7:17","6:08","161","305","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","53.6","0:00","No","43:47.65","1","77.0","00:43:42","00:51:23","2,542","2,799"
Running,2022-11-30 10:42:51,false,"Boise Running","5.00","450","00:36:01","142","158","173","188","7:12","6:31","184","243","1.29","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","51.8","0:00","No","36:01.05","1","77.0","00:35:59","00:37:05","2,640","2,818"
Running,2022-11-28 07:24:05,false,"Boise Running","6.69","660","00:49:44","151","167","175","186","7:26","6:43","39","184","1.24","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","39.2","0:00","No","49:44.30","1","78.8","00:49:38","00:56:01","2,543","2,711"
Running,2022-11-26 10:21:58,false,"Boise Running","8.01","728","00:57:34","145","164","175","184","7:11","6:25","118","213","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","44.6","0:00","No","17:37.82","2","80.6","00:57:27","01:00:17","2,278","2,420"
